% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 16 2026, 16:49"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.700000000000000E-7,6.378562936170213E2,2.429258229594302E-1∠0.000000000000000E0°,2.429258229594302E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,2.428513609212190E-1∠0.000000000000000E0°,2.428513609212190E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,2.428842947859780E-1∠0.000000000000000E0°,2.428842947859780E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,2.427879214881666E-1∠0.000000000000000E0°,2.427879214881666E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,2.427586839672051E-1∠0.000000000000000E0°,2.427586839672051E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,2.426048248048685E-1∠0.000000000000000E0°,2.426048248048685E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,2.425766438786203E-1∠0.000000000000000E0°,2.425766438786203E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,2.424752109398957E-1∠0.000000000000000E0°,2.424752109398957E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,2.424218366224216E-1∠0.000000000000000E0°,2.424218366224216E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,2.424271604774459E-1∠0.000000000000000E0°,2.424271604774459E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,2.423510970162747E-1∠0.000000000000000E0°,2.423510970162747E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,2.422575655489690E-1∠0.000000000000000E0°,2.422575655489690E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,2.421517313537306E-1∠0.000000000000000E0°,2.421517313537306E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,2.421298373888520E-1∠0.000000000000000E0°,2.421298373888520E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.400000000000000E-7,5.551712185185185E2,2.420789484830755E-1∠0.000000000000000E0°,2.420789484830755E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.450000000000000E-7,5.500779045871560E2,2.420099657251082E-1∠0.000000000000000E0°,2.420099657251082E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.500000000000000E-7,5.450771963636364E2,2.420043538849489E-1∠0.000000000000000E0°,2.420043538849489E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.550000000000000E-7,5.401665909909910E2,2.419160012935144E-1∠0.000000000000000E0°,2.419160012935144E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.599999999999999E-7,5.353436750000001E2,2.418619044012559E-1∠0.000000000000000E0°,2.418619044012559E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.650000000000000E-7,5.306061203539823E2,2.417662054116352E-1∠0.000000000000000E0°,2.417662054116352E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.700000000000000E-7,5.259516807017543E2,2.416490491133016E-1∠0.000000000000000E0°,2.416490491133016E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.750000000000000E-7,5.213781878260869E2,2.416742824110497E-1∠0.000000000000000E0°,2.416742824110497E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.800000000000000E-7,5.168835482758622E2,2.415815625728284E-1∠0.000000000000000E0°,2.415815625728284E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.850000000000000E-7,5.124657401709401E2,2.415673456037850E-1∠0.000000000000000E0°,2.415673456037850E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.900000000000000E-7,5.081228101694915E2,2.414680496677821E-1∠0.000000000000000E0°,2.414680496677821E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.950000000000000E-7,5.038528705882353E2,2.414410227340280E-1∠0.000000000000000E0°,2.414410227340280E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.000000000000000E-7,4.996540966666667E2,2.413522253895633E-1∠0.000000000000000E0°,2.413522253895633E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.049999999999999E-7,4.955247239669422E2,2.412543168193858E-1∠0.000000000000000E0°,2.412543168193858E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.100000000000000E-7,4.914630459016394E2,2.412181549312299E-1∠0.000000000000000E0°,2.412181549312299E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
