% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 16 2026, 09:29"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.500000000000000E-7,6.662054622222222E2,1.031248460002379E-2∠0.000000000000000E0°,1.031248460002379E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,1.021314017904712E-2∠0.000000000000000E0°,1.021314017904712E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,1.013631205436342E-2∠0.000000000000000E0°,1.013631205436342E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,1.007819031179559E-2∠0.000000000000000E0°,1.007819031179559E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,1.003821792213786E-2∠0.000000000000000E0°,1.003821792213786E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,1.001456181200835E-2∠0.000000000000000E0°,1.001456181200835E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,1.000579018979625E-2∠0.000000000000000E0°,1.000579018979625E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,1.001013841527442E-2∠0.000000000000000E0°,1.001013841527442E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,1.002573431873757E-2∠0.000000000000000E0°,1.002573431873757E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,1.005342062368648E-2∠0.000000000000000E0°,1.005342062368648E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,1.009147284785988E-2∠0.000000000000000E0°,1.009147284785988E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,1.014000263311763E-2∠0.000000000000000E0°,1.014000263311763E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,1.020133779247064E-2∠0.000000000000000E0°,1.020133779247064E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,1.026959194064304E-2∠0.000000000000000E0°,1.026959194064304E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,1.034781757139958E-2∠0.000000000000000E0°,1.034781757139958E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,1.043496119397997E-2∠0.000000000000000E0°,1.043496119397997E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,1.052800004045117E-2∠0.000000000000000E0°,1.052800004045117E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,1.063458031993550E-2∠0.000000000000000E0°,1.063458031993550E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.400000000000000E-7,5.551712185185185E2,1.074864911236866E-2∠0.000000000000000E0°,1.074864911236866E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.450000000000000E-7,5.500779045871560E2,1.086611558428999E-2∠0.000000000000000E0°,1.086611558428999E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.500000000000000E-7,5.450771963636364E2,1.099237323638526E-2∠0.000000000000000E0°,1.099237323638526E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.550000000000000E-7,5.401665909909910E2,1.112456676769930E-2∠0.000000000000000E0°,1.112456676769930E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.599999999999999E-7,5.353436750000001E2,1.126196297519974E-2∠0.000000000000000E0°,1.126196297519974E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.650000000000000E-7,5.306061203539823E2,1.140068400648498E-2∠0.000000000000000E0°,1.140068400648498E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.700000000000000E-7,5.259516807017543E2,1.154590798422980E-2∠0.000000000000000E0°,1.154590798422980E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.750000000000000E-7,5.213781878260869E2,1.169071356383758E-2∠0.000000000000000E0°,1.169071356383758E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.800000000000000E-7,5.168835482758622E2,1.184646438068681E-2∠0.000000000000000E0°,1.184646438068681E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.850000000000000E-7,5.124657401709401E2,1.199843122789792E-2∠0.000000000000000E0°,1.199843122789792E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.900000000000000E-7,5.081228101694915E2,1.215137255029468E-2∠0.000000000000000E0°,1.215137255029468E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
5.950000000000000E-7,5.038528705882353E2,1.230928241838905E-2∠0.000000000000000E0°,1.230928241838905E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
6.000000000000000E-7,4.996540966666667E2,1.246743684008798E-2∠0.000000000000000E0°,1.246743684008798E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
6.049999999999999E-7,4.955247239669422E2,1.262568059952135E-2∠0.000000000000000E0°,1.262568059952135E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
6.100000000000000E-7,4.914630459016394E2,1.278791369193254E-2∠0.000000000000000E0°,1.278791369193254E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
6.150000000000000E-7,4.874674113821138E2,1.295420996195915E-2∠0.000000000000000E0°,1.295420996195915E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
6.200000000000000E-7,4.835362225806452E2,1.311889827459985E-2∠0.000000000000000E0°,1.311889827459985E-2∠0.000000000000000E0°,3.490658503988659E-1∠0.000000000000000E0°
