% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 16 2026, 10:13"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
4.500000000000000E-7,6.662054622222222E2,2.442171664912558E-1∠0.000000000000000E0°,2.442171664912558E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.550000000000000E-7,6.588845230769230E2,2.441200660743557E-1∠0.000000000000000E0°,2.441200660743557E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.600000000000000E-7,6.517227347826087E2,2.440796574014313E-1∠0.000000000000000E0°,2.440796574014313E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.650000000000000E-7,6.447149634408600E2,2.440828379853780E-1∠0.000000000000000E0°,2.440828379853780E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.700000000000000E-7,6.378562936170213E2,2.439312901180223E-1∠0.000000000000000E0°,2.439312901180223E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.750000000000000E-7,6.311420168421052E2,2.438945876487939E-1∠0.000000000000000E0°,2.438945876487939E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.800000000000000E-7,6.245676208333332E2,2.438866474196640E-1∠0.000000000000000E0°,2.438866474196640E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.850000000000000E-7,6.181287793814432E2,2.438335677622719E-1∠0.000000000000000E0°,2.438335677622719E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.900000000000000E-7,6.118213428571429E2,2.437033620724102E-1∠0.000000000000000E0°,2.437033620724102E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
4.950000000000000E-7,6.056413292929291E2,2.436302467280461E-1∠0.000000000000000E0°,2.436302467280461E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.000000000000000E-7,5.995849160000000E2,2.435594944277671E-1∠0.000000000000000E0°,2.435594944277671E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.050000000000000E-7,5.936484316831683E2,2.434834601291336E-1∠0.000000000000000E0°,2.434834601291336E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.100000000000000E-7,5.878283490196079E2,2.434327982902023E-1∠0.000000000000000E0°,2.434327982902023E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.149999999999999E-7,5.821212776699030E2,2.434362658105213E-1∠0.000000000000000E0°,2.434362658105213E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.200000000000000E-7,5.765239576923076E2,2.433608358118026E-1∠0.000000000000000E0°,2.433608358118026E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.250000000000000E-7,5.710332533333334E2,2.432557986190491E-1∠0.000000000000000E0°,2.432557986190491E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.300000000000000E-7,5.656461471698113E2,2.431469796716004E-1∠0.000000000000000E0°,2.431469796716004E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.350000000000000E-7,5.603597345794393E2,2.431392338757757E-1∠0.000000000000000E0°,2.431392338757757E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.400000000000000E-7,5.551712185185185E2,2.430850926467771E-1∠0.000000000000000E0°,2.430850926467771E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
