lambda_um,n,k,material,source
3.55,1.69344788,0,Al2O3,Malitson 1962 ordinary ray
3.56,1.69307215,0,Al2O3,Malitson 1962 ordinary ray
3.57,1.69269513,0,Al2O3,Malitson 1962 ordinary ray
3.58,1.69231682,0,Al2O3,Malitson 1962 ordinary ray
3.59,1.69193722,0,Al2O3,Malitson 1962 ordinary ray
3.6,1.69155632,0,Al2O3,Malitson 1962 ordinary ray
3.61,1.69117413,0,Al2O3,Malitson 1962 ordinary ray
3.62,1.69079064,0,Al2O3,Malitson 1962 ordinary ray
3.63,1.69040584,0,Al2O3,Malitson 1962 ordinary ray
3.64,1.69001974,0,Al2O3,Malitson 1962 ordinary ray
3.65,1.68963233,0,Al2O3,Malitson 1962 ordinary ray
3.66,1.68924361,0,Al2O3,Malitson 1962 ordinary ray
3.67,1.68885358,0,Al2O3,Malitson 1962 ordinary ray
3.68,1.68846223,0,Al2O3,Malitson 1962 ordinary ray
3.69,1.68806956,0,Al2O3,Malitson 1962 ordinary ray
3.7,1.68767557,0,Al2O3,Malitson 1962 ordinary ray
3.71,1.68728026,0,Al2O3,Malitson 1962 ordinary ray
3.72,1.68688362,0,Al2O3,Malitson 1962 ordinary ray
3.73,1.68648565,0,Al2O3,Malitson 1962 ordinary ray
3.74,1.68608634,0,Al2O3,Malitson 1962 ordinary ray
3.75,1.68568571,0,Al2O3,Malitson 1962 ordinary ray
3.76,1.68528373,0,Al2O3,Malitson 1962 ordinary ray
3.77,1.68488041,0,Al2O3,Malitson 1962 ordinary ray
3.78,1.68447575,0,Al2O3,Malitson 1962 ordinary ray
3.79,1.68406974,0,Al2O3,Malitson 1962 ordinary ray
3.8,1.68366239,0,Al2O3,Malitson 1962 ordinary ray
3.81,1.68325368,0,Al2O3,Malitson 1962 ordinary ray
3.82,1.68284361,0,Al2O3,Malitson 1962 ordinary ray
3.83,1.68243219,0,Al2O3,Malitson 1962 ordinary ray
3.84,1.68201941,0,Al2O3,Malitson 1962 ordinary ray
3.85,1.68160526,0,Al2O3,Malitson 1962 ordinary ray
3.86,1.68118975,0,Al2O3,Malitson 1962 ordinary ray
3.87,1.68077286,0,Al2O3,Malitson 1962 ordinary ray
3.88,1.68035461,0,Al2O3,Malitson 1962 ordinary ray
3.89,1.67993498,0,Al2O3,Malitson 1962 ordinary ray
3.9,1.67951397,0,Al2O3,Malitson 1962 ordinary ray
3.91,1.67909158,0,Al2O3,Malitson 1962 ordinary ray
3.92,1.6786678,0,Al2O3,Malitson 1962 ordinary ray
3.93,1.67824264,0,Al2O3,Malitson 1962 ordinary ray
3.94,1.67781609,0,Al2O3,Malitson 1962 ordinary ray
3.95,1.67738814,0,Al2O3,Malitson 1962 ordinary ray
3.96,1.6769588,0,Al2O3,Malitson 1962 ordinary ray
3.97,1.67652806,0,Al2O3,Malitson 1962 ordinary ray
3.98,1.67609591,0,Al2O3,Malitson 1962 ordinary ray
3.99,1.67566236,0,Al2O3,Malitson 1962 ordinary ray
4,1.67522741,0,Al2O3,Malitson 1962 ordinary ray
4.01,1.67479104,0,Al2O3,Malitson 1962 ordinary ray
4.02,1.67435325,0,Al2O3,Malitson 1962 ordinary ray
4.03,1.67391405,0,Al2O3,Malitson 1962 ordinary ray
4.04,1.67347343,0,Al2O3,Malitson 1962 ordinary ray
4.05,1.67303139,0,Al2O3,Malitson 1962 ordinary ray
4.06,1.67258791,0,Al2O3,Malitson 1962 ordinary ray
4.07,1.67214301,0,Al2O3,Malitson 1962 ordinary ray
4.08,1.67169667,0,Al2O3,Malitson 1962 ordinary ray
4.09,1.6712489,0,Al2O3,Malitson 1962 ordinary ray
4.1,1.67079969,0,Al2O3,Malitson 1962 ordinary ray
4.11,1.67034903,0,Al2O3,Malitson 1962 ordinary ray
4.12,1.66989693,0,Al2O3,Malitson 1962 ordinary ray
4.13,1.66944338,0,Al2O3,Malitson 1962 ordinary ray
4.14,1.66898837,0,Al2O3,Malitson 1962 ordinary ray
4.15,1.66853191,0,Al2O3,Malitson 1962 ordinary ray
4.16,1.668074,0,Al2O3,Malitson 1962 ordinary ray
4.17,1.66761461,0,Al2O3,Malitson 1962 ordinary ray
4.18,1.66715377,0,Al2O3,Malitson 1962 ordinary ray
4.19,1.66669145,0,Al2O3,Malitson 1962 ordinary ray
4.2,1.66622766,0,Al2O3,Malitson 1962 ordinary ray
4.21,1.6657624,0,Al2O3,Malitson 1962 ordinary ray
4.22,1.66529566,0,Al2O3,Malitson 1962 ordinary ray
4.23,1.66482743,0,Al2O3,Malitson 1962 ordinary ray
4.24,1.66435772,0,Al2O3,Malitson 1962 ordinary ray
4.25,1.66388652,0,Al2O3,Malitson 1962 ordinary ray
4.26,1.66341383,0,Al2O3,Malitson 1962 ordinary ray
4.27,1.66293964,0,Al2O3,Malitson 1962 ordinary ray
4.28,1.66246395,0,Al2O3,Malitson 1962 ordinary ray
4.29,1.66198676,0,Al2O3,Malitson 1962 ordinary ray
4.3,1.66150806,0,Al2O3,Malitson 1962 ordinary ray
4.31,1.66102786,0,Al2O3,Malitson 1962 ordinary ray
4.32,1.66054614,0,Al2O3,Malitson 1962 ordinary ray
4.33,1.6600629,0,Al2O3,Malitson 1962 ordinary ray
4.34,1.65957814,0,Al2O3,Malitson 1962 ordinary ray
4.35,1.65909186,0,Al2O3,Malitson 1962 ordinary ray
4.36,1.65860405,0,Al2O3,Malitson 1962 ordinary ray
4.37,1.65811471,0,Al2O3,Malitson 1962 ordinary ray
4.38,1.65762384,0,Al2O3,Malitson 1962 ordinary ray
4.39,1.65713142,0,Al2O3,Malitson 1962 ordinary ray
4.4,1.65663747,0,Al2O3,Malitson 1962 ordinary ray
4.41,1.65614197,0,Al2O3,Malitson 1962 ordinary ray
