lambda_um,n,k,material,source
1.55,1.37051874,0,MgF2,Dodge 1984 ordinary ray
1.56,1.37046324,0,MgF2,Dodge 1984 ordinary ray
1.57,1.3704076,0,MgF2,Dodge 1984 ordinary ray
1.58,1.37035182,0,MgF2,Dodge 1984 ordinary ray
1.59,1.37029589,0,MgF2,Dodge 1984 ordinary ray
1.6,1.3702398,0,MgF2,Dodge 1984 ordinary ray
1.61,1.37018356,0,MgF2,Dodge 1984 ordinary ray
1.62,1.37012716,0,MgF2,Dodge 1984 ordinary ray
1.63,1.37007059,0,MgF2,Dodge 1984 ordinary ray
1.64,1.37001385,0,MgF2,Dodge 1984 ordinary ray
1.65,1.36995695,0,MgF2,Dodge 1984 ordinary ray
1.66,1.36989986,0,MgF2,Dodge 1984 ordinary ray
1.67,1.3698426,0,MgF2,Dodge 1984 ordinary ray
1.68,1.36978516,0,MgF2,Dodge 1984 ordinary ray
1.69,1.36972753,0,MgF2,Dodge 1984 ordinary ray
1.7,1.36966971,0,MgF2,Dodge 1984 ordinary ray
1.71,1.3696117,0,MgF2,Dodge 1984 ordinary ray
1.72,1.3695535,0,MgF2,Dodge 1984 ordinary ray
1.73,1.3694951,0,MgF2,Dodge 1984 ordinary ray
1.74,1.3694365,0,MgF2,Dodge 1984 ordinary ray
1.75,1.3693777,0,MgF2,Dodge 1984 ordinary ray
1.76,1.36931869,0,MgF2,Dodge 1984 ordinary ray
1.77,1.36925947,0,MgF2,Dodge 1984 ordinary ray
1.78,1.36920005,0,MgF2,Dodge 1984 ordinary ray
1.79,1.36914041,0,MgF2,Dodge 1984 ordinary ray
1.8,1.36908056,0,MgF2,Dodge 1984 ordinary ray
1.81,1.3690205,0,MgF2,Dodge 1984 ordinary ray
1.82,1.36896021,0,MgF2,Dodge 1984 ordinary ray
1.83,1.3688997,0,MgF2,Dodge 1984 ordinary ray
1.84,1.36883897,0,MgF2,Dodge 1984 ordinary ray
1.85,1.36877801,0,MgF2,Dodge 1984 ordinary ray
1.86,1.36871683,0,MgF2,Dodge 1984 ordinary ray
1.87,1.36865541,0,MgF2,Dodge 1984 ordinary ray
1.88,1.36859377,0,MgF2,Dodge 1984 ordinary ray
1.89,1.36853189,0,MgF2,Dodge 1984 ordinary ray
1.9,1.36846978,0,MgF2,Dodge 1984 ordinary ray
1.91,1.36840742,0,MgF2,Dodge 1984 ordinary ray
1.92,1.36834484,0,MgF2,Dodge 1984 ordinary ray
1.93,1.36828201,0,MgF2,Dodge 1984 ordinary ray
1.94,1.36821893,0,MgF2,Dodge 1984 ordinary ray
1.95,1.36815562,0,MgF2,Dodge 1984 ordinary ray
1.96,1.36809206,0,MgF2,Dodge 1984 ordinary ray
1.97,1.36802825,0,MgF2,Dodge 1984 ordinary ray
1.98,1.3679642,0,MgF2,Dodge 1984 ordinary ray
1.99,1.36789989,0,MgF2,Dodge 1984 ordinary ray
2,1.36783534,0,MgF2,Dodge 1984 ordinary ray
2.01,1.36777053,0,MgF2,Dodge 1984 ordinary ray
2.02,1.36770547,0,MgF2,Dodge 1984 ordinary ray
2.03,1.36764015,0,MgF2,Dodge 1984 ordinary ray
2.04,1.36757457,0,MgF2,Dodge 1984 ordinary ray
2.05,1.36750874,0,MgF2,Dodge 1984 ordinary ray
2.06,1.36744265,0,MgF2,Dodge 1984 ordinary ray
2.07,1.3673763,0,MgF2,Dodge 1984 ordinary ray
2.08,1.36730968,0,MgF2,Dodge 1984 ordinary ray
2.09,1.3672428,0,MgF2,Dodge 1984 ordinary ray
2.1,1.36717566,0,MgF2,Dodge 1984 ordinary ray
2.11,1.36710826,0,MgF2,Dodge 1984 ordinary ray
2.12,1.36704058,0,MgF2,Dodge 1984 ordinary ray
2.13,1.36697264,0,MgF2,Dodge 1984 ordinary ray
2.14,1.36690443,0,MgF2,Dodge 1984 ordinary ray
2.15,1.36683595,0,MgF2,Dodge 1984 ordinary ray
2.16,1.3667672,0,MgF2,Dodge 1984 ordinary ray
2.17,1.36669818,0,MgF2,Dodge 1984 ordinary ray
2.18,1.36662888,0,MgF2,Dodge 1984 ordinary ray
2.19,1.36655932,0,MgF2,Dodge 1984 ordinary ray
2.2,1.36648947,0,MgF2,Dodge 1984 ordinary ray
2.21,1.36641935,0,MgF2,Dodge 1984 ordinary ray
2.22,1.36634896,0,MgF2,Dodge 1984 ordinary ray
2.23,1.36627828,0,MgF2,Dodge 1984 ordinary ray
2.24,1.36620733,0,MgF2,Dodge 1984 ordinary ray
2.25,1.3661361,0,MgF2,Dodge 1984 ordinary ray
2.26,1.36606458,0,MgF2,Dodge 1984 ordinary ray
2.27,1.36599279,0,MgF2,Dodge 1984 ordinary ray
2.28,1.36592071,0,MgF2,Dodge 1984 ordinary ray
2.29,1.36584835,0,MgF2,Dodge 1984 ordinary ray
2.3,1.36577571,0,MgF2,Dodge 1984 ordinary ray
2.31,1.36570278,0,MgF2,Dodge 1984 ordinary ray
2.32,1.36562957,0,MgF2,Dodge 1984 ordinary ray
2.33,1.36555607,0,MgF2,Dodge 1984 ordinary ray
2.34,1.36548229,0,MgF2,Dodge 1984 ordinary ray
2.35,1.36540821,0,MgF2,Dodge 1984 ordinary ray
2.36,1.36533385,0,MgF2,Dodge 1984 ordinary ray
2.37,1.3652592,0,MgF2,Dodge 1984 ordinary ray
2.38,1.36518425,0,MgF2,Dodge 1984 ordinary ray
2.39,1.36510902,0,MgF2,Dodge 1984 ordinary ray
2.4,1.3650335,0,MgF2,Dodge 1984 ordinary ray
2.41,1.36495768,0,MgF2,Dodge 1984 ordinary ray
2.42,1.36488157,0,MgF2,Dodge 1984 ordinary ray
2.43,1.36480516,0,MgF2,Dodge 1984 ordinary ray
2.44,1.36472847,0,MgF2,Dodge 1984 ordinary ray
2.45,1.36465147,0,MgF2,Dodge 1984 ordinary ray
2.46,1.36457419,0,MgF2,Dodge 1984 ordinary ray
2.47,1.3644966,0,MgF2,Dodge 1984 ordinary ray
2.48,1.36441872,0,MgF2,Dodge 1984 ordinary ray
2.49,1.36434054,0,MgF2,Dodge 1984 ordinary ray
2.5,1.36426206,0,MgF2,Dodge 1984 ordinary ray
2.51,1.36418328,0,MgF2,Dodge 1984 ordinary ray
2.52,1.36410421,0,MgF2,Dodge 1984 ordinary ray
2.53,1.36402483,0,MgF2,Dodge 1984 ordinary ray
2.54,1.36394515,0,MgF2,Dodge 1984 ordinary ray
2.55,1.36386518,0,MgF2,Dodge 1984 ordinary ray
2.56,1.3637849,0,MgF2,Dodge 1984 ordinary ray
2.57,1.36370431,0,MgF2,Dodge 1984 ordinary ray
2.58,1.36362343,0,MgF2,Dodge 1984 ordinary ray
2.59,1.36354224,0,MgF2,Dodge 1984 ordinary ray
2.6,1.36346074,0,MgF2,Dodge 1984 ordinary ray
2.61,1.36337894,0,MgF2,Dodge 1984 ordinary ray
2.62,1.36329684,0,MgF2,Dodge 1984 ordinary ray
2.63,1.36321443,0,MgF2,Dodge 1984 ordinary ray
2.64,1.36313171,0,MgF2,Dodge 1984 ordinary ray
2.65,1.36304869,0,MgF2,Dodge 1984 ordinary ray
2.66,1.36296536,0,MgF2,Dodge 1984 ordinary ray
2.67,1.36288172,0,MgF2,Dodge 1984 ordinary ray
2.68,1.36279777,0,MgF2,Dodge 1984 ordinary ray
2.69,1.36271351,0,MgF2,Dodge 1984 ordinary ray
2.7,1.36262894,0,MgF2,Dodge 1984 ordinary ray
2.71,1.36254407,0,MgF2,Dodge 1984 ordinary ray
2.72,1.36245888,0,MgF2,Dodge 1984 ordinary ray
2.73,1.36237338,0,MgF2,Dodge 1984 ordinary ray
2.74,1.36228757,0,MgF2,Dodge 1984 ordinary ray
2.75,1.36220144,0,MgF2,Dodge 1984 ordinary ray
2.76,1.36211501,0,MgF2,Dodge 1984 ordinary ray
2.77,1.36202826,0,MgF2,Dodge 1984 ordinary ray
2.78,1.36194119,0,MgF2,Dodge 1984 ordinary ray
2.79,1.36185382,0,MgF2,Dodge 1984 ordinary ray
2.8,1.36176612,0,MgF2,Dodge 1984 ordinary ray
2.81,1.36167812,0,MgF2,Dodge 1984 ordinary ray
2.82,1.36158979,0,MgF2,Dodge 1984 ordinary ray
2.83,1.36150115,0,MgF2,Dodge 1984 ordinary ray
2.84,1.3614122,0,MgF2,Dodge 1984 ordinary ray
2.85,1.36132292,0,MgF2,Dodge 1984 ordinary ray
2.86,1.36123333,0,MgF2,Dodge 1984 ordinary ray
2.87,1.36114342,0,MgF2,Dodge 1984 ordinary ray
2.88,1.3610532,0,MgF2,Dodge 1984 ordinary ray
2.89,1.36096265,0,MgF2,Dodge 1984 ordinary ray
2.9,1.36087178,0,MgF2,Dodge 1984 ordinary ray
2.91,1.3607806,0,MgF2,Dodge 1984 ordinary ray
2.92,1.36068909,0,MgF2,Dodge 1984 ordinary ray
2.93,1.36059726,0,MgF2,Dodge 1984 ordinary ray
2.94,1.36050512,0,MgF2,Dodge 1984 ordinary ray
2.95,1.36041265,0,MgF2,Dodge 1984 ordinary ray
2.96,1.36031985,0,MgF2,Dodge 1984 ordinary ray
2.97,1.36022674,0,MgF2,Dodge 1984 ordinary ray
2.98,1.3601333,0,MgF2,Dodge 1984 ordinary ray
2.99,1.36003954,0,MgF2,Dodge 1984 ordinary ray
3,1.35994545,0,MgF2,Dodge 1984 ordinary ray
3.01,1.35985104,0,MgF2,Dodge 1984 ordinary ray
3.02,1.35975631,0,MgF2,Dodge 1984 ordinary ray
3.03,1.35966125,0,MgF2,Dodge 1984 ordinary ray
3.04,1.35956586,0,MgF2,Dodge 1984 ordinary ray
3.05,1.35947015,0,MgF2,Dodge 1984 ordinary ray
3.06,1.35937411,0,MgF2,Dodge 1984 ordinary ray
3.07,1.35927775,0,MgF2,Dodge 1984 ordinary ray
3.08,1.35918105,0,MgF2,Dodge 1984 ordinary ray
3.09,1.35908403,0,MgF2,Dodge 1984 ordinary ray
