lambda_um,n,k,material,source
1.62,1.44317393,0,SiO2,Malitson 1965; Tan 1998
1.63,1.44305067,0,SiO2,Malitson 1965; Tan 1998
1.64,1.44292691,0,SiO2,Malitson 1965; Tan 1998
1.65,1.44280265,0,SiO2,Malitson 1965; Tan 1998
1.66,1.44267788,0,SiO2,Malitson 1965; Tan 1998
1.67,1.44255259,0,SiO2,Malitson 1965; Tan 1998
1.68,1.44242678,0,SiO2,Malitson 1965; Tan 1998
1.69,1.44230043,0,SiO2,Malitson 1965; Tan 1998
1.7,1.44217354,0,SiO2,Malitson 1965; Tan 1998
1.71,1.44204611,0,SiO2,Malitson 1965; Tan 1998
1.72,1.44191812,0,SiO2,Malitson 1965; Tan 1998
1.73,1.44178957,0,SiO2,Malitson 1965; Tan 1998
1.74,1.44166046,0,SiO2,Malitson 1965; Tan 1998
1.75,1.44153077,0,SiO2,Malitson 1965; Tan 1998
1.76,1.4414005,0,SiO2,Malitson 1965; Tan 1998
1.77,1.44126965,0,SiO2,Malitson 1965; Tan 1998
1.78,1.4411382,0,SiO2,Malitson 1965; Tan 1998
1.79,1.44100616,0,SiO2,Malitson 1965; Tan 1998
1.8,1.44087351,0,SiO2,Malitson 1965; Tan 1998
1.81,1.44074025,0,SiO2,Malitson 1965; Tan 1998
1.82,1.44060638,0,SiO2,Malitson 1965; Tan 1998
1.83,1.44047188,0,SiO2,Malitson 1965; Tan 1998
1.84,1.44033676,0,SiO2,Malitson 1965; Tan 1998
1.85,1.440201,0,SiO2,Malitson 1965; Tan 1998
1.86,1.44006461,0,SiO2,Malitson 1965; Tan 1998
1.87,1.43992758,0,SiO2,Malitson 1965; Tan 1998
1.88,1.4397899,0,SiO2,Malitson 1965; Tan 1998
1.89,1.43965156,0,SiO2,Malitson 1965; Tan 1998
1.9,1.43951257,0,SiO2,Malitson 1965; Tan 1998
1.91,1.43937291,0,SiO2,Malitson 1965; Tan 1998
1.92,1.43923258,0,SiO2,Malitson 1965; Tan 1998
1.93,1.43909159,0,SiO2,Malitson 1965; Tan 1998
1.94,1.43894991,0,SiO2,Malitson 1965; Tan 1998
1.95,1.43880755,0,SiO2,Malitson 1965; Tan 1998
1.96,1.4386645,0,SiO2,Malitson 1965; Tan 1998
1.97,1.43852077,0,SiO2,Malitson 1965; Tan 1998
1.98,1.43837633,0,SiO2,Malitson 1965; Tan 1998
1.99,1.43823119,0,SiO2,Malitson 1965; Tan 1998
2,1.43808535,0,SiO2,Malitson 1965; Tan 1998
2.01,1.4379388,0,SiO2,Malitson 1965; Tan 1998
2.02,1.43779153,0,SiO2,Malitson 1965; Tan 1998
2.03,1.43764355,0,SiO2,Malitson 1965; Tan 1998
2.04,1.43749484,0,SiO2,Malitson 1965; Tan 1998
2.05,1.4373454,0,SiO2,Malitson 1965; Tan 1998
2.06,1.43719523,0,SiO2,Malitson 1965; Tan 1998
2.07,1.43704433,0,SiO2,Malitson 1965; Tan 1998
2.08,1.43689268,0,SiO2,Malitson 1965; Tan 1998
2.09,1.43674029,0,SiO2,Malitson 1965; Tan 1998
2.1,1.43658715,0,SiO2,Malitson 1965; Tan 1998
2.11,1.43643326,0,SiO2,Malitson 1965; Tan 1998
2.12,1.43627861,0,SiO2,Malitson 1965; Tan 1998
2.13,1.4361232,0,SiO2,Malitson 1965; Tan 1998
2.14,1.43596703,0,SiO2,Malitson 1965; Tan 1998
2.15,1.43581008,0,SiO2,Malitson 1965; Tan 1998
2.16,1.43565237,0,SiO2,Malitson 1965; Tan 1998
2.17,1.43549387,0,SiO2,Malitson 1965; Tan 1998
2.18,1.4353346,0,SiO2,Malitson 1965; Tan 1998
2.19,1.43517454,0,SiO2,Malitson 1965; Tan 1998
2.2,1.43501369,0,SiO2,Malitson 1965; Tan 1998
2.21,1.43485204,0,SiO2,Malitson 1965; Tan 1998
2.22,1.4346896,0,SiO2,Malitson 1965; Tan 1998
2.23,1.43452636,0,SiO2,Malitson 1965; Tan 1998
2.24,1.43436232,0,SiO2,Malitson 1965; Tan 1998
2.25,1.43419746,0,SiO2,Malitson 1965; Tan 1998
2.26,1.43403179,0,SiO2,Malitson 1965; Tan 1998
2.27,1.43386531,0,SiO2,Malitson 1965; Tan 1998
2.28,1.43369801,0,SiO2,Malitson 1965; Tan 1998
2.29,1.43352988,0,SiO2,Malitson 1965; Tan 1998
2.3,1.43336093,0,SiO2,Malitson 1965; Tan 1998
2.31,1.43319114,0,SiO2,Malitson 1965; Tan 1998
2.32,1.43302052,0,SiO2,Malitson 1965; Tan 1998
2.33,1.43284906,0,SiO2,Malitson 1965; Tan 1998
2.34,1.43267675,0,SiO2,Malitson 1965; Tan 1998
2.35,1.4325036,0,SiO2,Malitson 1965; Tan 1998
2.36,1.4323296,0,SiO2,Malitson 1965; Tan 1998
2.37,1.43215474,0,SiO2,Malitson 1965; Tan 1998
2.38,1.43197903,0,SiO2,Malitson 1965; Tan 1998
2.39,1.43180245,0,SiO2,Malitson 1965; Tan 1998
2.4,1.43162501,0,SiO2,Malitson 1965; Tan 1998
2.41,1.4314467,0,SiO2,Malitson 1965; Tan 1998
2.42,1.43126751,0,SiO2,Malitson 1965; Tan 1998
2.43,1.43108745,0,SiO2,Malitson 1965; Tan 1998
2.44,1.43090651,0,SiO2,Malitson 1965; Tan 1998
2.45,1.43072468,0,SiO2,Malitson 1965; Tan 1998
2.46,1.43054196,0,SiO2,Malitson 1965; Tan 1998
2.47,1.43035835,0,SiO2,Malitson 1965; Tan 1998
2.48,1.43017385,0,SiO2,Malitson 1965; Tan 1998
2.49,1.42998844,0,SiO2,Malitson 1965; Tan 1998
2.5,1.42980213,0,SiO2,Malitson 1965; Tan 1998
2.51,1.42961491,0,SiO2,Malitson 1965; Tan 1998
2.52,1.42942678,0,SiO2,Malitson 1965; Tan 1998
