% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 21 2026, 08:54"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
5.400000000000000E-7,5.551712185185185E2,2.175649406109543E-2∠0.000000000000000E0°,2.175649406109543E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.450000000000000E-7,5.500779045871560E2,2.200027631443616E-2∠0.000000000000000E0°,2.200027631443616E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.500000000000000E-7,5.450771963636364E2,2.224257327800347E-2∠0.000000000000000E0°,2.224257327800347E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.550000000000000E-7,5.401665909909910E2,2.248220718680399E-2∠0.000000000000000E0°,2.248220718680399E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.599999999999999E-7,5.353436750000001E2,2.271794801918436E-2∠0.000000000000000E0°,2.271794801918436E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.650000000000000E-7,5.306061203539823E2,2.294407344727961E-2∠0.000000000000000E0°,2.294407344727961E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.700000000000000E-7,5.259516807017543E2,2.317339204977948E-2∠0.000000000000000E0°,2.317339204977948E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.750000000000000E-7,5.213781878260869E2,2.339448662191446E-2∠0.000000000000000E0°,2.339448662191446E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.800000000000000E-7,5.168835482758622E2,2.362097476847732E-2∠0.000000000000000E0°,2.362097476847732E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.850000000000000E-7,5.124657401709401E2,2.384113282247630E-2∠0.000000000000000E0°,2.384113282247630E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.900000000000000E-7,5.081228101694915E2,2.404795058914064E-2∠0.000000000000000E0°,2.404795058914064E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
5.950000000000000E-7,5.038528705882353E2,2.426249374037651E-2∠0.000000000000000E0°,2.426249374037651E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.000000000000000E-7,4.996540966666667E2,2.446202394089302E-2∠0.000000000000000E0°,2.446202394089302E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.049999999999999E-7,4.955247239669422E2,2.466542925167553E-2∠0.000000000000000E0°,2.466542925167553E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.100000000000000E-7,4.914630459016394E2,2.485927574127954E-2∠0.000000000000000E0°,2.485927574127954E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.150000000000000E-7,4.874674113821138E2,2.506105135337504E-2∠0.000000000000000E0°,2.506105135337504E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.200000000000000E-7,4.835362225806452E2,2.525777214652104E-2∠0.000000000000000E0°,2.525777214652104E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.249999999999999E-7,4.796679328000001E2,2.545187907630859E-2∠0.000000000000000E0°,2.545187907630859E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.300000000000000E-7,4.758610444444444E2,2.564242330928804E-2∠0.000000000000000E0°,2.564242330928804E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.350000000000000E-7,4.721141070866142E2,2.582810460599399E-2∠0.000000000000000E0°,2.582810460599399E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.400000000000000E-7,4.684257156250000E2,2.601630404801661E-2∠0.000000000000000E0°,2.601630404801661E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.450000000000000E-7,4.647945085271318E2,2.620198391947812E-2∠0.000000000000000E0°,2.620198391947812E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
