% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 19 2026, 14:40"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
6.400000000000000E-7,4.684257156250000E2,2.442543203992256E-1∠0.000000000000000E0°,2.442543203992256E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.450000000000000E-7,4.647945085271318E2,2.441689584018612E-1∠0.000000000000000E0°,2.441689584018612E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.499999999999999E-7,4.612191661538462E2,2.440889823878770E-1∠0.000000000000000E0°,2.440889823878770E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.550000000000000E-7,4.576984091603053E2,2.439986423059428E-1∠0.000000000000000E0°,2.439986423059428E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.600000000000000E-7,4.542309969696970E2,2.439476944651357E-1∠0.000000000000000E0°,2.439476944651357E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.650000000000000E-7,4.508157263157895E2,2.439083114380927E-1∠0.000000000000000E0°,2.439083114380927E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.699999999999999E-7,4.474514298507463E2,2.439067913436361E-1∠0.000000000000000E0°,2.439067913436361E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.750000000000000E-7,4.441369748148147E2,2.438842845129234E-1∠0.000000000000000E0°,2.438842845129234E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.800000000000000E-7,4.408712617647059E2,2.438114990764660E-1∠0.000000000000000E0°,2.438114990764660E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.850000000000000E-7,4.376532233576642E2,2.437178298336702E-1∠0.000000000000000E0°,2.437178298336702E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.900000000000000E-7,4.344818231884058E2,2.436813316407541E-1∠0.000000000000000E0°,2.436813316407541E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.949999999999999E-7,4.313560546762591E2,2.435956365304810E-1∠0.000000000000000E0°,2.435956365304810E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.000000000000000E-7,4.282749400000000E2,2.435021855735813E-1∠0.000000000000000E0°,2.435021855735813E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.050000000000000E-7,4.252375290780141E2,2.434585964880997E-1∠0.000000000000000E0°,2.434585964880997E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.100000000000000E-7,4.222428985915493E2,2.433717045483580E-1∠0.000000000000000E0°,2.433717045483580E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.149999999999999E-7,4.192901510489510E2,2.433694233633453E-1∠0.000000000000000E0°,2.433694233633453E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.200000000000000E-7,4.163784138888889E2,2.432937840942072E-1∠0.000000000000000E0°,2.432937840942072E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.250000000000000E-7,4.135068386206896E2,2.432114419063474E-1∠0.000000000000000E0°,2.432114419063474E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.300000000000000E-7,4.106746000000000E2,2.432250906396476E-1∠0.000000000000000E0°,2.432250906396476E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.350000000000000E-7,4.078808952380953E2,2.431233528190699E-1∠0.000000000000000E0°,2.431233528190699E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.400000000000000E-7,4.051249432432432E2,2.430864061670755E-1∠0.000000000000000E0°,2.430864061670755E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.450000000000000E-7,4.024059838926175E2,2.430633769181741E-1∠0.000000000000000E0°,2.430633769181741E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.500000000000000E-7,3.997232773333333E2,2.429647326171401E-1∠0.000000000000000E0°,2.429647326171401E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
