lambda_um,irradiance,source
0.347,0.49404,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3475,0.47674,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.348,0.47511,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3485,0.48336,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.349,0.46564,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3495,0.47805,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.35,0.52798,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3505,0.56741,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.351,0.55172,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3515,0.53022,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.352,0.51791,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3525,0.48962,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.353,0.5204,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3535,0.57228,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.354,0.60498,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3545,0.61156,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.355,0.6114,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3555,0.59028,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.356,0.55387,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3565,0.51942,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.357,0.45673,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3575,0.46215,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.358,0.43006,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3585,0.39926,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.359,0.46953,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3595,0.56549,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.36,0.59817,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3605,0.56531,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.361,0.52024,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3615,0.50956,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.362,0.5342,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3625,0.5851,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.363,0.60191,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3635,0.58541,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.364,0.60628,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3645,0.60058,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.365,0.62359,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3655,0.68628,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.366,0.73532,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3665,0.73658,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.367,0.72285,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3675,0.70914,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.368,0.66759,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3685,0.6631,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.369,0.69315,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3695,0.74469,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.37,0.75507,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3705,0.68261,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.371,0.69338,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3715,0.72051,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.372,0.67444,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3725,0.64253,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.373,0.61886,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3735,0.55786,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.374,0.5564,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3745,0.55227,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.375,0.5893,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3755,0.65162,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.376,0.6748,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3765,0.6639,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.377,0.71225,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3775,0.79455,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.378,0.85595,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3785,0.83418,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.379,0.74389,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3795,0.66683,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.38,0.70077,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3805,0.75075,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.381,0.76383,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3815,0.68837,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.382,0.58678,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3825,0.50762,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.383,0.45499,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3835,0.44049,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.384,0.50968,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3845,0.61359,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.385,0.67355,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3855,0.64363,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.386,0.621,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3865,0.6457,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.387,0.65147,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3875,0.64204,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.388,0.63582,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3885,0.63136,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.389,0.68543,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3895,0.7597,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.39,0.79699,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3905,0.80371,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.391,0.85138,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3915,0.86344,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.392,0.79493,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3925,0.66257,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.393,0.47975,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3935,0.38152,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.394,0.49567,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3945,0.68385,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.395,0.80772,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3955,0.86038,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.396,0.75655,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3965,0.55017,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.397,0.42619,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3975,0.62945,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.398,0.85249,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3985,1.0069,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.399,1.0693,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.3995,1.1021,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.4,1.1141,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.401,1.1603,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.402,1.2061,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.403,1.1613,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.404,1.1801,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.405,1.1511,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.406,1.1227,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.407,1.1026,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.408,1.1514,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.409,1.2299,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.41,1.0485,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.411,1.1738,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.412,1.2478,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.413,1.1971,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.414,1.1842,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.415,1.2258,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.416,1.2624,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.417,1.2312,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.418,1.1777,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.419,1.2258,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.42,1.1232,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.421,1.2757,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.422,1.2583,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.423,1.2184,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.424,1.2117,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.425,1.2488,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.426,1.2135,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.427,1.1724,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.428,1.1839,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.429,1.0963,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.43,0.87462,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.431,0.79394,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.432,1.3207,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.433,1.2288,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.434,1.1352,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.435,1.2452,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.436,1.3659,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.437,1.3943,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.438,1.2238,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.439,1.1775,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.44,1.3499,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.441,1.3313,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.442,1.425,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.443,1.4453,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.444,1.4084,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.445,1.4619,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.446,1.3108,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.447,1.4903,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.448,1.5081,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.449,1.5045,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.45,1.5595,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.451,1.6173,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.452,1.5482,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.453,1.4297,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.454,1.5335,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.455,1.5224,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.456,1.5724,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.457,1.5854,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.458,1.5514,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.459,1.5391,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.46,1.5291,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.461,1.5827,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.462,1.5975,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
