% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 21 2026, 08:50"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
6.350000000000000E-7,4.721141070866142E2,9.882456744325387E-1∠0.000000000000000E0°,9.882456744325387E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.400000000000000E-7,4.684257156250000E2,9.996158704316008E-1∠0.000000000000000E0°,9.996158704316008E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.450000000000000E-7,4.647945085271318E2,9.958708554336084E-1∠0.000000000000000E0°,9.958708554336084E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.499999999999999E-7,4.612191661538462E2,9.810992963010170E-1∠0.000000000000000E0°,9.810992963010170E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.550000000000000E-7,4.576984091603053E2,9.609329245349817E-1∠0.000000000000000E0°,9.609329245349817E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.600000000000000E-7,4.542309969696970E2,9.400538896151187E-1∠0.000000000000000E0°,9.400538896151187E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.650000000000000E-7,4.508157263157895E2,9.213555937125927E-1∠0.000000000000000E0°,9.213555937125927E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.699999999999999E-7,4.474514298507463E2,9.062121384338044E-1∠0.000000000000000E0°,9.062121384338044E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.750000000000000E-7,4.441369748148147E2,8.953497191181745E-1∠0.000000000000000E0°,8.953497191181745E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.800000000000000E-7,4.408712617647059E2,8.886856102161601E-1∠0.000000000000000E0°,8.886856102161601E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.850000000000000E-7,4.376532233576642E2,8.860335202349876E-1∠0.000000000000000E0°,8.860335202349876E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.900000000000000E-7,4.344818231884058E2,8.871117710446165E-1∠0.000000000000000E0°,8.871117710446165E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
6.949999999999999E-7,4.313560546762591E2,8.916256856887266E-1∠0.000000000000000E0°,8.916256856887266E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.000000000000000E-7,4.282749400000000E2,8.992501267367923E-1∠0.000000000000000E0°,8.992501267367923E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.050000000000000E-7,4.252375290780141E2,9.096365624209330E-1∠0.000000000000000E0°,9.096365624209330E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.100000000000000E-7,4.222428985915493E2,9.224027000983787E-1∠0.000000000000000E0°,9.224027000983787E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.149999999999999E-7,4.192901510489510E2,9.368816779817088E-1∠0.000000000000000E0°,9.368816779817088E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.200000000000000E-7,4.163784138888889E2,9.523499622624555E-1∠0.000000000000000E0°,9.523499622624555E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.250000000000000E-7,4.135068386206896E2,9.678041232417314E-1∠0.000000000000000E0°,9.678041232417314E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.300000000000000E-7,4.106746000000000E2,9.819018341903767E-1∠0.000000000000000E0°,9.819018341903767E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.350000000000000E-7,4.078808952380953E2,9.930207740470524E-1∠0.000000000000000E0°,9.930207740470524E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.400000000000000E-7,4.051249432432432E2,9.992619275696508E-1∠0.000000000000000E0°,9.992619275696508E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.450000000000000E-7,4.024059838926175E2,9.988592902300113E-1∠0.000000000000000E0°,9.988592902300113E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
7.500000000000000E-7,3.997232773333333E2,9.904458994887686E-1∠0.000000000000000E0°,9.904458994887686E-1∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°
